DATE,NIFTY_500_CLOSE,52W_HIGH,52W_LOW,PCT_HIGH,ABOVE_200SMA,PCT_ABOVE_200SMA
2017-02-13,7626.9404296875,11,0,5.8,152,80.0
2017-02-14,7605.0400390625,12,0,6.3,149,78.4
2017-02-15,7531.59033203125,8,0,4.2,138,72.6
2017-02-16,7599.4404296875,10,0,5.3,145,76.3
2017-02-17,7637.98974609375,15,0,7.9,148,77.9
2017-02-20,7691.83984375,14,0,7.4,153,80.5
2017-02-21,7725.23974609375,18,0,9.5,155,81.6
2017-02-22,7721.58984375,15,0,7.9,154,81.1
2017-02-23,7729.6396484375,12,0,6.3,153,80.5
2017-02-27,7706.48974609375,11,1,5.8,150,78.9
2017-02-28,7709.08984375,14,1,7.4,154,81.1
2017-03-01,7754.68994140625,14,0,7.4,154,81.1
2017-03-02,7691.6396484375,15,0,7.9,152,80.0
2017-03-03,7696.18994140625,5,0,2.6,148,77.9
2017-03-06,7745.3896484375,13,0,6.8,152,80.0
2017-03-07,7735.28955078125,12,0,6.3,150,78.9
2017-03-08,7710.93994140625,7,0,3.7,148,77.9
2017-03-09,7709.98974609375,3,1,1.6,152,80.0
2017-03-10,7710.8896484375,8,0,4.2,152,80.0
2017-03-14,7835.6396484375,11,0,5.8,153,80.5
2017-03-15,7854.73974609375,10,0,5.3,155,81.6
2017-03-16,7928.53955078125,21,0,11.1,155,81.6
2017-03-17,7933.08984375,23,0,12.1,160,84.2
2017-03-20,7918.58984375,17,0,8.9,159,83.7
2017-03-21,7909.18994140625,14,2,7.3,160,83.8
2017-03-22,7830.08984375,9,2,4.7,154,80.6
2017-03-23,7885.68994140625,10,0,5.2,157,82.2
2017-03-24,7905.28955078125,14,0,7.3,155,81.2
2017-03-27,7865.28955078125,9,0,4.7,156,81.7
2017-03-28,7912.08984375,16,0,8.4,157,82.2
2017-03-29,7945.28955078125,19,0,9.9,158,82.7
2017-03-30,7976.8896484375,23,0,12.0,157,82.2
2017-03-31,7995.03955078125,38,0,19.9,160,83.8
2017-04-03,8053.13916015625,29,0,15.2,162,84.8
2017-04-05,8095.08935546875,37,0,19.4,164,85.9
2017-04-06,8092.08935546875,23,1,12.0,164,85.9
2017-04-07,8045.33935546875,31,1,16.2,163,85.3
2017-04-10,8052.08935546875,24,1,12.6,166,86.9
2017-04-11,8107.08935546875,28,0,14.7,168,88.0
2017-04-12,8078.83935546875,24,0,12.6,166,86.9
2017-04-13,8044.88916015625,15,0,7.9,165,86.4
2017-04-17,8042.58935546875,19,0,9.9,166,86.9
2017-04-18,8003.1396484375,31,0,16.2,164,85.9
2017-04-19,8020.9892578125,12,2,6.3,162,84.8
2017-04-20,8063.08935546875,24,1,12.6,163,85.3
2017-04-21,8057.689453125,26,1,13.6,162,84.8
2017-04-24,8137.33935546875,33,3,17.3,164,85.9
2017-04-25,8216.689453125,44,2,23.0,166,86.9
2017-04-26,8230.8388671875,36,2,18.8,167,87.4
2017-04-27,8222.189453125,20,3,10.5,165,86.4
2017-04-28,8214.2890625,20,3,10.5,166,86.9
2017-05-02,8231.3388671875,30,4,15.7,166,86.9
2017-05-03,8227.689453125,35,3,18.3,164,85.9
2017-05-04,8265.7890625,26,2,13.6,165,86.4
2017-05-05,8193.2392578125,20,1,10.5,162,84.8
2017-05-08,8226.0888671875,19,1,9.9,162,84.8
2017-05-09,8242.689453125,22,1,11.5,165,86.4
2017-05-10,8320.189453125,27,0,14.1,167,87.4
2017-05-11,8330.9892578125,22,0,11.5,168,88.0
2017-05-12,8299.189453125,11,1,5.8,163,85.3
2017-05-15,8351.2890625,15,1,7.9,167,87.4
2017-05-16,8398.939453125,20,0,10.5,165,86.4
2017-05-17,8395.9892578125,18,1,9.4,166,86.9
2017-05-18,8279.1396484375,8,1,4.2,161,84.3
2017-05-19,8258.189453125,5,2,2.6,159,82.8
2017-05-22,8235.0390625,5,3,2.6,159,82.8
2017-05-23,8159.13916015625,3,5,1.6,148,77.1
2017-05-24,8106.58935546875,2,7,1.0,143,74.5
2017-05-25,8233.8896484375,6,7,3.1,151,78.6
2017-05-26,8331.8388671875,13,3,6.8,154,80.2
2017-05-29,8299.4892578125,11,10,5.7,148,76.7
2017-05-30,8328.939453125,6,3,3.1,149,77.2
2017-05-31,8350.939453125,12,0,6.2,151,78.2
2017-06-01,8367.1396484375,13,0,6.7,154,79.8
2017-06-02,8406.5390625,20,0,10.4,156,80.8
2017-06-05,8435.7392578125,15,0,7.8,159,82.4
2017-06-06,8397.189453125,14,0,7.3,157,81.3
2017-06-07,8431.4892578125,13,0,6.7,159,82.4
2017-06-08,8429.1396484375,20,0,10.4,159,82.4
2017-06-09,8452.7392578125,21,0,10.9,157,81.3
2017-06-12,8408.689453125,17,0,8.8,156,80.8
